,ITTER107,Territorio,TIPO_DATO15,Tipo dato,ETA1,Classe di età,SEXISTAT1,Sesso,CITTADINANZA,Cittadinanza,TIME,Seleziona periodo,Value,Flag Codes,Flags
733264,IT,Italia,JAN,popolazione al 1º gennaio,TOTAL,totale,9,totale,ITL,italiano-a,2018,2018,55054318,,
52,IT,Italia,JAN,popolazione al 1º gennaio,Y0,0 anni,9,totale,ITL,italiano-a,2018,2018,388083,,
745342,IT,Italia,JAN,popolazione al 1º gennaio,Y0,0 anni,9,totale,FRG,straniero-a,2018,2018,66983,,
10474,IT,Italia,JAN,popolazione al 1º gennaio,Y1,1 anni,9,totale,ITL,italiano-a,2018,2018,404243,,
738124,IT,Italia,JAN,popolazione al 1º gennaio,Y1,1 anni,9,totale,FRG,straniero-a,2018,2018,66169,,
72412,IT,Italia,JAN,popolazione al 1º gennaio,Y10,10 anni,9,totale,ITL,italiano-a,2018,2018,514598,,
803248,IT,Italia,JAN,popolazione al 1º gennaio,Y10,10 anni,9,totale,FRG,straniero-a,2018,2018,52726,,
95236,IT,Italia,JAN,popolazione al 1º gennaio,Y11,11 anni,9,totale,ITL,italiano-a,2018,2018,517717,,
817720,IT,Italia,JAN,popolazione al 1º gennaio,Y11,11 anni,9,totale,FRG,straniero-a,2018,2018,50366,,
86020,IT,Italia,JAN,popolazione al 1º gennaio,Y12,12 anni,9,totale,ITL,italiano-a,2018,2018,518264,,
817774,IT,Italia,JAN,popolazione al 1º gennaio,Y12,12 anni,9,totale,FRG,straniero-a,2018,2018,46214,,
93904,IT,Italia,JAN,popolazione al 1º gennaio,Y13,13 anni,9,totale,ITL,italiano-a,2018,2018,525711,,
832192,IT,Italia,JAN,popolazione al 1º gennaio,Y13,13 anni,9,totale,FRG,straniero-a,2018,2018,44473,,
101824,IT,Italia,JAN,popolazione al 1º gennaio,Y14,14 anni,9,totale,ITL,italiano-a,2018,2018,525052,,
846538,IT,Italia,JAN,popolazione al 1º gennaio,Y14,14 anni,9,totale,FRG,straniero-a,2018,2018,40882,,
109690,IT,Italia,JAN,popolazione al 1º gennaio,Y15,15 anni,9,totale,ITL,italiano-a,2018,2018,521463,,
839428,IT,Italia,JAN,popolazione al 1º gennaio,Y15,15 anni,9,totale,FRG,straniero-a,2018,2018,40719,,
130426,IT,Italia,JAN,popolazione al 1º gennaio,Y16,16 anni,9,totale,ITL,italiano-a,2018,2018,526607,,
863458,IT,Italia,JAN,popolazione al 1º gennaio,Y16,16 anni,9,totale,FRG,straniero-a,2018,2018,42034,,
115846,IT,Italia,JAN,popolazione al 1º gennaio,Y17,17 anni,9,totale,ITL,italiano-a,2018,2018,533951,,
858436,IT,Italia,JAN,popolazione al 1º gennaio,Y17,17 anni,9,totale,FRG,straniero-a,2018,2018,48038,,
123712,IT,Italia,JAN,popolazione al 1º gennaio,Y18,18 anni,9,totale,ITL,italiano-a,2018,2018,530336,,
874708,IT,Italia,JAN,popolazione al 1º gennaio,Y18,18 anni,9,totale,FRG,straniero-a,2018,2018,48994,,
143098,IT,Italia,JAN,popolazione al 1º gennaio,Y19,19 anni,9,totale,ITL,italiano-a,2018,2018,531854,,
