,ITTER107,Territorio,TIPO_DATO15,Tipo di indicatore demografico,SEXISTAT1,Sesso,ETA1,Età,STATCIV2,Stato civile,TIME,Seleziona periodo,Value,Flag Codes,Flags
959172,IT,Italia,JAN,popolazione al 1º gennaio,1,maschi,TOTAL,totale,1,nubile/celibe,2019,2019,13605095,,
959177,IT,Italia,JAN,popolazione al 1º gennaio,1,maschi,TOTAL,totale,2,coniugata/o,2019,2019,14046332,,
959182,IT,Italia,JAN,popolazione al 1º gennaio,1,maschi,TOTAL,totale,3,divorziata/o,2019,2019,716883,,
959187,IT,Italia,JAN,popolazione al 1º gennaio,1,maschi,TOTAL,totale,4,vedova/o,2019,2019,750648,,
959192,IT,Italia,JAN,popolazione al 1º gennaio,1,maschi,TOTAL,totale,99,totale,2019,2019,29131195,,
0,IT,Italia,JAN,popolazione al 1º gennaio,1,maschi,Y0,0 anni,1,nubile/celibe,2019,2019,221685,,
5,IT,Italia,JAN,popolazione al 1º gennaio,1,maschi,Y0,0 anni,99,totale,2019,2019,221685,,
4922,IT,Italia,JAN,popolazione al 1º gennaio,1,maschi,Y1,1 anni,99,totale,2019,2019,234386,,
5356,IT,Italia,JAN,popolazione al 1º gennaio,1,maschi,Y1,1 anni,1,nubile/celibe,2019,2019,234386,,
44874,IT,Italia,JAN,popolazione al 1º gennaio,1,maschi,Y10,10 anni,1,nubile/celibe,2019,2019,292417,,
45180,IT,Italia,JAN,popolazione al 1º gennaio,1,maschi,Y10,10 anni,99,totale,2019,2019,292417,,
48865,IT,Italia,JAN,popolazione al 1º gennaio,1,maschi,Y11,11 anni,1,nubile/celibe,2019,2019,292452,,
48881,IT,Italia,JAN,popolazione al 1º gennaio,1,maschi,Y11,11 anni,99,totale,2019,2019,292452,,
53161,IT,Italia,JAN,popolazione al 1º gennaio,1,maschi,Y12,12 anni,1,nubile/celibe,2019,2019,293239,,
53444,IT,Italia,JAN,popolazione al 1º gennaio,1,maschi,Y12,12 anni,99,totale,2019,2019,293239,,
58499,IT,Italia,JAN,popolazione al 1º gennaio,1,maschi,Y13,13 anni,99,totale,2019,2019,291565,,
61303,IT,Italia,JAN,popolazione al 1º gennaio,1,maschi,Y13,13 anni,1,nubile/celibe,2019,2019,291565,,
62656,IT,Italia,JAN,popolazione al 1º gennaio,1,maschi,Y14,14 anni,99,totale,2019,2019,293836,,
62881,IT,Italia,JAN,popolazione al 1º gennaio,1,maschi,Y14,14 anni,1,nubile/celibe,2019,2019,293836,,
66330,IT,Italia,JAN,popolazione al 1º gennaio,1,maschi,Y15,15 anni,1,nubile/celibe,2019,2019,292016,,
66335,IT,Italia,JAN,popolazione al 1º gennaio,1,maschi,Y15,15 anni,99,totale,2019,2019,292016,,
70752,IT,Italia,JAN,popolazione al 1º gennaio,1,maschi,Y16,16 anni,1,nubile/celibe,2019,2019,290455,,
70757,IT,Italia,JAN,popolazione al 1º gennaio,1,maschi,Y16,16 anni,2,coniugata/o,2019,2019,12,,
70762,IT,Italia,JAN,popolazione al 1º gennaio,1,maschi,Y16,16 anni,3,divorziata/o,2019,2019,7,,
70767,IT,Italia,JAN,popolazione al 1º gennaio,1,maschi,Y16,16 anni,4,vedova/o,2019,2019,2,,
70772,IT,Italia,JAN,popolazione al 1º gennaio,1,maschi,Y16,16 anni,99,totale,2019,2019,290476,,
81204,IT,Italia,JAN,popolazione al 1º gennaio,1,maschi,Y17,17 anni,1,nubile/celibe,2019,2019,295097,,
81209,IT,Italia,JAN,popolazione al 1º gennaio,1,maschi,Y17,17 anni,2,coniugata/o,2019,2019,17,,
81214,IT,Italia,JAN,popolazione al 1º gennaio,1,maschi,Y17,17 anni,3,divorziata/o,2019,2019,10,,
81219,IT,Italia,JAN,popolazione al 1º gennaio,1,maschi,Y17,17 anni,4,vedova/o,2019,2019,3,,
81224,IT,Italia,JAN,popolazione al 1º gennaio,1,maschi,Y17,17 anni,99,totale,2019,2019,295127,,
99233,IT,Italia,JAN,popolazione al 1º gennaio,1,maschi,Y18,18 anni,1,nubile/celibe,2019,2019,306015,,
99238,IT,Italia,JAN,popolazione al 1º gennaio,1,maschi,Y18,18 anni,2,coniugata/o,2019,2019,43,,
